"time_period","province_code","product","rainfall","mean_temperature","population","disease_cases","location"
"2019-02","01 Vientiane Capital","Artesunate 60 mg",10.9782261904762,26.1986904761905,3806292,0,"01 Vientiane Capital-Artesunate 60 mg"
"2019-02","01 Vientiane Capital","Coartem [6x1 tablets]",10.9782261904762,26.1986904761905,3806292,0,"01 Vientiane Capital-Coartem [6x1 tablets]"
"2019-02","01 Vientiane Capital","Coartem [6x2 tablets]",10.9782261904762,26.1986904761905,3806292,0,"01 Vientiane Capital-Coartem [6x2 tablets]"
"2019-02","01 Vientiane Capital","Coartem [6x3 tablets]",10.9782261904762,26.1986904761905,3806292,0,"01 Vientiane Capital-Coartem [6x3 tablets]"
"2019-02","01 Vientiane Capital","Coartem [6x4 tablets]",10.9782261904762,26.1986904761905,3806292,0,"01 Vientiane Capital-Coartem [6x4 tablets]"
"2019-02","01 Vientiane Capital","G6PD (RDT)",10.172996031746,26.019246031746,1065792,0,"01 Vientiane Capital-G6PD (RDT)"
"2019-02","01 Vientiane Capital","Primaquine 7.5 mg",10.9782261904762,26.1986904761905,3806292,0,"01 Vientiane Capital-Primaquine 7.5 mg"
"2019-02","01 Vientiane Capital","Rapid Diagnostic Test (RDT)",10.9782261904762,26.1986904761905,3806292,0,"01 Vientiane Capital-Rapid Diagnostic Test (RDT)"
"2019-02","02 Phongsali","Artesunate 60 mg",6.04464285714286,19.5773469387755,989103,0,"02 Phongsali-Artesunate 60 mg"
"2019-02","02 Phongsali","Coartem [6x1 tablets]",5.80841185410334,19.4202127659574,1279711,0,"02 Phongsali-Coartem [6x1 tablets]"
"2019-02","02 Phongsali","Coartem [6x2 tablets]",5.81620927318296,19.5175438596491,1566471,0,"02 Phongsali-Coartem [6x2 tablets]"
"2019-02","02 Phongsali","Coartem [6x3 tablets]",5.51130639097744,19.3522556390977,1030186,0,"02 Phongsali-Coartem [6x3 tablets]"
"2019-02","02 Phongsali","Coartem [6x4 tablets]",5.81620927318296,19.5175438596491,1566471,0,"02 Phongsali-Coartem [6x4 tablets]"
"2019-02","02 Phongsali","G6PD (RDT)",5.44577142857143,19.5474285714286,697443,0,"02 Phongsali-G6PD (RDT)"
"2019-02","02 Phongsali","ORS (transfer to HC)",5.69127551020408,19.9974489795918,371944,0,"02 Phongsali-ORS (transfer to HC)"
"2019-02","02 Phongsali","Paracetamol (transfer to HC)",5.69127551020408,19.9974489795918,371944,0,"02 Phongsali-Paracetamol (transfer to HC)"
"2019-02","02 Phongsali","Primaquine 7.5 mg",5.88371262458472,19.4991694352159,1181247,0,"02 Phongsali-Primaquine 7.5 mg"
"2019-02","02 Phongsali","Rapid Diagnostic Test (RDT)",5.81620927318296,19.5175438596491,1566471,120,"02 Phongsali-Rapid Diagnostic Test (RDT)"
"2019-02","03 Louangnamtha","Artesunate 60 mg",6.02392857142857,20.4571428571429,268530,0,"03 Louangnamtha-Artesunate 60 mg"
"2019-02","03 Louangnamtha","Coartem [6x1 tablets]",5.74340476190476,20.5414285714286,1676513,0,"03 Louangnamtha-Coartem [6x1 tablets]"
"2019-02","03 Louangnamtha","Coartem [6x2 tablets]",5.74340476190476,20.5414285714286,1676513,0,"03 Louangnamtha-Coartem [6x2 tablets]"
"2019-02","03 Louangnamtha","Coartem [6x3 tablets]",5.63681722689076,20.4288865546218,1393230,0,"03 Louangnamtha-Coartem [6x3 tablets]"
"2019-02","03 Louangnamtha","Coartem [6x4 tablets]",5.74340476190476,20.5414285714286,1676513,0,"03 Louangnamtha-Coartem [6x4 tablets]"
"2019-02","03 Louangnamtha","G6PD (RDT)",5.18294117647059,20.4623949579832,705351,0,"03 Louangnamtha-G6PD (RDT)"
"2019-02","03 Louangnamtha","Primaquine 7.5 mg",5.74340476190476,20.5414285714286,1676513,0,"03 Louangnamtha-Primaquine 7.5 mg"
"2019-02","03 Louangnamtha","Rapid Diagnostic Test (RDT)",5.74340476190476,20.5414285714286,1676513,147,"03 Louangnamtha-Rapid Diagnostic Test (RDT)"
"2019-02","04 Oudomxai","Artesunate 60 mg",6.09222222222222,21.3069444444444,1193704,0,"04 Oudomxai-Artesunate 60 mg"
"2019-02","04 Oudomxai","Coartem [6x1 tablets]",6.22424927113703,21.0413265306122,2563697,0,"04 Oudomxai-Coartem [6x1 tablets]"
"2019-02","04 Oudomxai","Coartem [6x2 tablets]",6.22424927113703,21.0413265306122,2563697,0,"04 Oudomxai-Coartem [6x2 tablets]"
"2019-02","04 Oudomxai","Coartem [6x3 tablets]",6.22424927113703,21.0413265306122,2563697,0,"04 Oudomxai-Coartem [6x3 tablets]"
"2019-02","04 Oudomxai","Coartem [6x4 tablets]",6.22424927113703,21.0413265306122,2563697,162,"04 Oudomxai-Coartem [6x4 tablets]"
"2019-02","04 Oudomxai","G6PD (RDT)",6.27298611111111,20.9894841269841,1801159,0,"04 Oudomxai-G6PD (RDT)"
"2019-02","04 Oudomxai","ORS (transfer to HC)",6.66785714285714,20.3642857142857,130088,0,"04 Oudomxai-ORS (transfer to HC)"
"2019-02","04 Oudomxai","Paracetamol (transfer to HC)",6.66785714285714,20.3642857142857,130088,0,"04 Oudomxai-Paracetamol (transfer to HC)"
"2019-02","04 Oudomxai","Primaquine 7.5 mg",6.12448179271709,20.9765406162465,2723841,0,"04 Oudomxai-Primaquine 7.5 mg"
"2019-02","04 Oudomxai","Rapid Diagnostic Test (RDT)",6.24134523809524,21.0095238095238,3041064,0,"04 Oudomxai-Rapid Diagnostic Test (RDT)"
"2019-02","05 Bokeo","Coartem [6x1 tablets]",3.72506157635468,21.696921182266,1540274,0,"05 Bokeo-Coartem [6x1 tablets]"
"2019-02","05 Bokeo","Coartem [6x2 tablets]",3.72506157635468,21.696921182266,1540274,0,"05 Bokeo-Coartem [6x2 tablets]"
"2019-02","05 Bokeo","Coartem [6x3 tablets]",3.72506157635468,21.696921182266,1540274,0,"05 Bokeo-Coartem [6x3 tablets]"
"2019-02","05 Bokeo","Coartem [6x4 tablets]",3.77158163265306,21.6105102040816,1640138,0,"05 Bokeo-Coartem [6x4 tablets]"
